Transaction_ID,Account_ID,Customer_Name,Region,Account_Type,Transaction_Type,Currency,Amount,Fee_Charged,Interest_Accrued,Amount in USD,Fee charged in USD,Interest accrued in USD,Transaction_Date,Month,Year,,,,,
10052,1003,Ahmed,West,Credit,Fee,USD,4330.48,32.93,136.29,4330.48,32.93,136.29,05/11/2024,November,2024,,,,,
10053,1088,Huda,East,Credit,Interest,USD,7259.4,36.92,50.09,7259.4,36.92,50.09,24/05/2024,May,2024,,,,,
10054,1059,Zain,South,Checking,Deposit,SAR,5971.8,9.17,96.07,1612.386,2.4759,25.9389,15/05/2024,May,2024,,,,,
10055,1013,Lina,West,Savings,Transfer,SAR,2960.76,62.5,32.75,799.4052,16.875,8.8425,01/05/2023,May,2023,,,,,
10056,1008,Fatima,East,Credit,Transfer,SAR,526.51,23.86,-9.49,142.1577,6.4422,-2.5623,29/08/2024,August,2024,,,,,
10057,1089,Zain,North,Checking,Interest,USD,7678.28,80.33,80.98,7678.28,80.33,80.98,27/07/2023,July,2023,,,,,
10058,1052,Huda,West,Savings,Fee,USD,3531.75,39.42,82.97,3531.75,39.42,82.97,22/10/2024,October,2024,,,,,
10059,1001,Fatima,North,Credit,Deposit,SAR,8898.35,45.86,42.04,2402.5545,12.3822,11.3508,16/12/2023,December,2023,,,,,
10060,1083,Fatima,North,Credit,Withdrawal,USD,3956.62,64.64,3.99,3956.62,64.64,3.99,12/07/2023,July,2023,,,,,
10061,1091,Omar,West,Credit,Transfer,SAR,7179.41,76.19,116.36,1938.4407,20.5713,31.4172,15/10/2024,October,2024,,,,,
10062,1059,Sara,West,Savings,Interest,SAR,9396.25,23.11,5.06,2536.9875,6.2397,1.3662,28/01/2024,January,2024,,,,,
10063,1070,Zain,West,saving,Fee,SAR,6515.01,96.63,81.8,1759.0527,26.0901,22.086,11/05/2024,May,2024,,,,,
10064,1043,Sara,West,Savings,Fee,SAR,4140.75,62.23,26.8,1118.0025,16.8021,7.236,27/01/2024,January,2024,,,,,
10065,1007,Fatima,West,Investment,Deposit,SAR,4957.285,0.56,44.5,1338.46695,0.1512,12.015,13/12/2024,December,2024,,,,,
10066,1046,Ahmed,North,Credit,Transfer,USD,4957.285,41.56,-7.72,4957.285,41.56,-7.72,04/11/2024,November,2024,,,,,
10067,1034,Fatima,South,Investment,Deposit,USD,5852.35,43.68,79.9,5852.35,43.68,79.9,19/04/2023,April,2023,,,,,
10068,1077,Sara,South,Checking,Withdrawal,SAR,1476.73,80.92,-4.83,398.7171,21.8484,-1.3041,14/04/2024,April,2024,,,,,
10069,1080,Zain,West,Credit,Withdrawal,USD,6988.11,30.51,47.14,6988.11,30.51,47.14,16/12/2023,December,2023,,,,,
10070,1035,Huda,North,Checking,Withdrawal,SAR,1458.98,33.12,15.69,393.9246,8.9424,4.2363,22/12/2024,December,2024,,,,,
10071,1049,Omar,South,Checking,Fee,USD,156.02,7.05,142.72,156.02,7.05,142.72,29/05/2023,May,2023,,,,,
10072,1003,Omar,South,Checking,Transfer,USD,6251.55,28.35,146.44,6251.55,28.35,146.44,13/09/2023,September,2023,,,,,
10073,1001,Omar,South,Investment,Deposit,SAR,1177.97,71.7,100.7,318.0519,19.359,27.189,24/01/2024,January,2024,,,,,
10074,1005,Huda,North,Savings,Deposit,USD,7706.41,63.48,146.78,7706.41,63.48,146.78,18/07/2023,July,2023,,,,,
10075,1053,Omar,West,Investment,Withdrawal,SAR,8661,8.14,-27.29,2338.47,2.1978,-7.3683,18/03/2024,March,2024,,,,,
10076,1003,Zain,West,Investment,Transfer,USD,9447.92,11.47,148.46,9447.92,11.47,148.46,05/07/2023,July,2023,,,,,
10077,1053,Huda,West,Checking,Transfer,SAR,6648.12,37.69,-29.29,1794.9924,10.1763,-7.9083,10/12/2023,December,2023,,,,,
10078,1092,Omar,East,Credit,Interest,SAR,4825.33,74.38,33.09,1302.8391,20.0826,8.9343,07/11/2024,November,2024,,,,,
10079,1062,Huda,East,Savings,Transfer,SAR,3529.29,50.88,-2.21,952.9083,13.7376,-0.5967,18/04/2023,April,2023,,,,,
10080,1017,Sara,East,Checking,Transfer,SAR,4957.285,1.46,140.77,1338.46695,0.3942,38.0079,17/08/2024,August,2024,,,,,
10081,1089,Lina,North,Savings,Deposit,SAR,1911.62,32.9,77.16,516.1374,8.883,20.8332,21/03/2023,March,2023,,,,,
10082,1043,Lina,South,Investment,Transfer,SAR,4957.285,42.43,69.43,1338.46695,11.4561,18.7461,10/09/2023,September,2023,,,,,
10083,1033,Zain,South,Savings,Transfer,USD,7182.13,91.11,149.49,7182.13,91.11,149.49,25/01/2023,January,2023,,,,,
10084,1073,Ali,North,Savings,Deposit,SAR,2182.06,50.14,72.49,589.1562,13.5378,19.5723,10/10/2023,October,2023,,,,,
10085,1061,Ahmed,North,Credit,Transfer,USD,4957.285,26.97,79.23,4957.285,26.97,79.23,16/07/2024,July,2024,,,,,
10086,1099,Omar,West,saving,Deposit,SAR,7495.79,39,-41.05,2023.8633,10.53,-11.0835,11/09/2024,September,2024,,,,,
10087,1013,Ahmed,West,Savings,Interest,USD,1786.58,43.64,121.81,1786.58,43.64,121.81,26/08/2023,August,2023,,,,,
10088,1094,Huda,East,Savings,Fee,SAR,2466.42,67,144.02,665.9334,18.09,38.8854,12/11/2023,November,2023,,,,,
10089,1047,Ahmed,East,Investment,Deposit,SAR,185.3,4.11,142.06,50.031,1.1097,38.3562,07/04/2024,April,2024,,,,,
10090,1014,Zain,North,Investment,Deposit,USD,7203.32,38.95,-5.78,7203.32,38.95,-5.78,28/11/2024,November,2024,,,,,
10091,1071,Zain,East,Savings,Transfer,SAR,6182.86,64.66,-4.82,1669.3722,17.4582,-1.3014,14/08/2024,August,2024,,,,,
10092,1077,Fatima,South,Checking,Deposit,SAR,6946.91,28.33,23.21,1875.6657,7.6491,6.2667,30/08/2024,August,2024,,,,,
10093,1086,Lina,North,Savings,Withdrawal,SAR,2151.13,59.18,51.33,580.8051,15.9786,13.8591,17/01/2024,January,2024,,,,,
10094,1061,Omar,North,Savings,Withdrawal,SAR,6876.89,35.73,11.12,1856.7603,9.6471,3.0024,09/04/2024,April,2024,,,,,
10095,1039,Fatima,South,Credit,Interest,USD,4957.285,75.87,71.04,4957.285,75.87,71.04,30/05/2023,May,2023,,,,,
10096,1084,Ahmed,West,saving,Deposit,SAR,3667.57,6.06,111.12,990.2439,1.6362,30.0024,18/12/2023,December,2023,,,,,
10097,1079,Ali,West,Credit,Transfer,USD,4383.88,91.8,137.35,4383.88,91.8,137.35,17/03/2024,March,2024,,,,,
10098,1081,Fatima,South,Checking,Transfer,SAR,5683.53,17.16,-36.43,1534.5531,4.6332,-9.8361,30/01/2024,January,2024,,,,,
10099,1052,Fatima,South,Checking,Fee,SAR,4937.99,15.85,5.6,1333.2573,4.2795,1.512,31/12/2023,December,2023,,,,,
10100,1023,Zain,East,Checking,Interest,SAR,6421.86,84.06,1,1733.9022,22.6962,0.27,06/01/2023,January,2023,,,,,
10101,1025,Ali,North,Credit,Transfer,SAR,1817.99,86.93,21.49,490.8573,23.4711,5.8023,17/06/2024,June,2024,,,,,
10102,1088,Huda,East,Credit,Fee,USD,5411.69,9.3,34.87,5411.69,9.3,34.87,08/08/2023,August,2023,,,,,
10103,1059,Ahmed,South,saving,Transfer,SAR,4508.29,90.87,27.83,1217.2383,24.5349,7.5141,12/01/2023,January,2023,,,,,
10104,1040,Fatima,East,Investment,Fee,SAR,4615.59,27.33,140.43,1246.2093,7.3791,37.9161,20/01/2024,January,2024,,,,,
10105,1028,Ali,South,Credit,Withdrawal,SAR,4699.13,61.86,37.43,1268.7651,16.7022,10.1061,04/12/2024,December,2024,,,,,
10106,1014,Lina,East,Investment,Withdrawal,USD,8815.9,6.86,51.33,8815.9,6.86,51.33,02/04/2024,April,2024,,,,,
10107,1044,Omar,East,Investment,Transfer,USD,8188.09,38.07,99.73,8188.09,38.07,99.73,13/08/2023,August,2023,,,,,
10108,1064,Ali,West,Investment,Interest,USD,6299.4,45.07,95.02,6299.4,45.07,95.02,02/12/2023,December,2023,,,,,
10109,1088,Lina,South,Savings,Deposit,USD,7167.7,59.98,66.59,7167.7,59.98,66.59,16/06/2023,June,2023,,,,,
10110,1070,Ahmed,East,Savings,Interest,SAR,437.6,52.53,122.17,118.152,14.1831,32.9859,12/11/2023,November,2023,,,,,
10111,1008,Ali,North,Savings,Interest,SAR,7442.48,46.15,74.84,2009.4696,12.4605,20.2068,26/04/2023,April,2023,,,,,
10112,1087,Lina,East,Investment,Deposit,USD,4866.79,95.96,124.95,4866.79,95.96,124.95,12/05/2024,May,2024,,,,,
10113,1000,Ali,East,Investment,Withdrawal,SAR,3184.3,18.5,10.55,859.761,4.995,2.8485,28/05/2023,May,2023,,,,,
10114,1007,Ali,North,Checking,Withdrawal,SAR,1406.37,15.8,-23.6,379.7199,4.266,-6.372,05/02/2023,February,2023,,,,,
10115,1087,Omar,South,Investment,Deposit,USD,761.34,71.34,113.9,761.34,71.34,113.9,11/02/2024,February,2024,,,,,
10116,1062,Lina,West,Savings,Fee,SAR,458.41,7.46,26.5,123.7707,2.0142,7.155,20/01/2024,January,2024,,,,,
10117,1010,Lina,West,Investment,Interest,USD,1626.34,48.29,80.22,1626.34,48.29,80.22,15/02/2024,February,2024,,,,,
10118,1080,Fatima,West,Investment,Transfer,USD,311.14,48.41,97.46,311.14,48.41,97.46,04/11/2023,November,2023,,,,,
10119,1007,Ahmed,North,saving,Withdrawal,USD,7329.1,31,15.34,7329.1,31,15.34,03/10/2024,October,2024,,,,,
10120,1034,Omar,East,Investment,Transfer,USD,2493.66,93.04,51.03,2493.66,93.04,51.03,28/08/2023,August,2023,,,,,
10121,1034,Ali,South,Credit,Deposit,USD,3693.72,28.25,128.99,3693.72,28.25,128.99,02/01/2024,January,2024,,,,,
10122,1032,Ali,East,Checking,Transfer,USD,8228.93,28.84,125.96,8228.93,28.84,125.96,31/10/2023,October,2023,,,,,
10123,1004,Fatima,West,Investment,Transfer,SAR,1155.43,23.43,99.87,311.9661,6.3261,26.9649,08/09/2024,September,2024,,,,,
10124,1040,Ahmed,East,Investment,Interest,SAR,8357.58,14.58,102.55,2256.5466,3.9366,27.6885,16/06/2023,June,2023,,,,,
10125,1027,Zain,North,Checking,Deposit,SAR,6399.01,36.4,51.33,1727.7327,9.828,13.8591,07/07/2024,July,2024,,,,,
10126,1006,Omar,North,Investment,Transfer,USD,3426.87,68.09,51.33,3426.87,68.09,51.33,28/10/2023,October,2023,,,,,
10127,1072,Fatima,South,Savings,Withdrawal,USD,1186.89,74.22,17.92,1186.89,74.22,17.92,24/07/2023,July,2023,,,,,
10128,1071,Ahmed,South,Credit,Deposit,USD,924.01,81.34,-25.84,924.01,81.34,-25.84,14/07/2023,July,2023,,,,,
10129,1011,Omar,West,Credit,Withdrawal,SAR,3361.79,19.75,34.38,907.6833,5.3325,9.2826,20/06/2023,June,2023,,,,,
10130,1033,Ali,South,Savings,Fee,SAR,1412.02,3.56,-32.53,381.2454,0.9612,-8.7831,07/09/2024,September,2024,,,,,
10131,1032,Ahmed,East,Investment,Transfer,USD,2684.43,97.47,-26.85,2684.43,97.47,-26.85,06/02/2024,February,2024,,,,,
10132,1047,Ahmed,North,Investment,Deposit,USD,539.03,1.43,140.03,539.03,1.43,140.03,08/02/2023,February,2023,,,,,
10133,1022,Huda,North,Credit,Withdrawal,USD,5954.13,96.07,85.18,5954.13,96.07,85.18,07/10/2024,October,2024,,,,,
10134,1061,Ahmed,North,Investment,Transfer,USD,1461.31,82.88,120.32,1461.31,82.88,120.32,09/09/2023,September,2023,,,,,
10135,1087,Zain,South,Credit,Interest,USD,7569.76,91.21,78.58,7569.76,91.21,78.58,12/11/2024,November,2024,,,,,
10136,1036,Ahmed,North,Credit,Withdrawal,SAR,2189.57,38.72,51.33,591.1839,10.4544,13.8591,10/10/2023,October,2023,,,,,
10137,1098,Zain,North,Savings,Withdrawal,USD,7981.79,19.72,-44.97,7981.79,19.72,-44.97,26/07/2023,July,2023,,,,,
10138,1043,Ali,North,Credit,Fee,USD,1906.92,60.65,141.17,1906.92,60.65,141.17,14/05/2024,May,2024,,,,,
10139,1085,Zain,West,Investment,Interest,USD,7216.45,74.13,-35.81,7216.45,74.13,-35.81,23/05/2023,May,2023,,,,,
10140,1090,Omar,West,Investment,Fee,USD,3337.42,13.09,72.03,3337.42,13.09,72.03,19/01/2023,January,2023,,,,,
10141,1034,Ali,South,Checking,Interest,SAR,5835.37,79.76,-29.56,1575.5499,21.5352,-7.9812,02/12/2024,December,2024,,,,,
10142,1064,Ali,North,Investment,Withdrawal,USD,396.23,20.86,6.83,396.23,20.86,6.83,29/07/2024,July,2024,,,,,
10143,1098,Zain,South,Checking,Fee,USD,4957.49,49.17,-12.84,4957.49,49.17,-12.84,17/11/2024,November,2024,,,,,
10144,1046,Lina,North,Credit,Transfer,USD,1495.39,85.65,60.74,1495.39,85.65,60.74,20/01/2023,January,2023,,,,,
10145,1077,Fatima,North,Investment,Interest,SAR,4868.34,19.34,127.42,1314.4518,5.2218,34.4034,23/03/2024,March,2024,,,,,
10146,1002,Sara,North,Savings,Withdrawal,USD,1422.18,24.19,77.12,1422.18,24.19,77.12,14/08/2023,August,2023,,,,,
10147,1000,Lina,South,Savings,Deposit,SAR,4376.52,6.28,82.84,1181.6604,1.6956,22.3668,11/04/2023,April,2023,,,,,
10148,1004,Ahmed,South,Savings,Interest,USD,1115.1,14.66,131.79,1115.1,14.66,131.79,21/10/2023,October,2023,,,,,
10149,1089,Huda,North,Credit,Interest,USD,2207.32,14.65,99.89,2207.32,14.65,99.89,03/07/2024,July,2024,,,,,
10150,1013,Sara,East,Credit,Transfer,USD,5954.84,20.34,123.19,5954.84,20.34,123.19,06/03/2023,March,2023,,,,,
10151,1026,Ahmed,South,Checking,Interest,USD,9766.84,28.62,33.28,9766.84,28.62,33.28,13/05/2024,May,2024,,,,,
10152,1008,Lina,West,Savings,Interest,USD,4497.36,81.5,123.07,4497.36,81.5,123.07,17/03/2023,March,2023,,,,,
10153,1078,Lina,South,saving,Withdrawal,USD,6874.87,91.58,79.17,6874.87,91.58,79.17,04/12/2024,December,2024,,,,,
10154,1014,Ahmed,North,Checking,Transfer,USD,5398.85,40.63,-22.88,5398.85,40.63,-22.88,26/09/2024,September,2024,,,,,
10155,1089,Ali,East,Investment,Fee,USD,4988.6,12.82,-42.26,4988.6,12.82,-42.26,05/05/2023,May,2023,,,,,
10156,1041,Ahmed,North,Investment,Withdrawal,USD,656.39,22.38,-1.19,656.39,22.38,-1.19,27/01/2023,January,2023,,,,,
10157,1076,Huda,West,Savings,Withdrawal,SAR,1451.53,73.62,25.67,391.9131,19.8774,6.9309,06/09/2024,September,2024,,,,,
10158,1050,Lina,South,Credit,Fee,SAR,8831.75,67.74,117.51,2384.5725,18.2898,31.7277,03/10/2023,October,2023,,,,,
10159,1062,Ahmed,South,Investment,Withdrawal,SAR,4957.285,96.72,98.25,1338.46695,26.1144,26.5275,25/07/2024,July,2024,,,,,
10160,1095,Zain,North,Credit,Interest,SAR,6147.18,1.45,51.33,1659.7386,0.3915,13.8591,10/11/2024,November,2024,,,,,
10161,1051,Sara,North,Checking,Fee,USD,5287.05,75.08,61.83,5287.05,75.08,61.83,24/03/2023,March,2023,,,,,
10162,1095,Zain,West,Checking,Fee,USD,3795.03,50.58,99.55,3795.03,50.58,99.55,30/04/2024,April,2024,,,,,
10163,1003,Huda,East,Checking,Withdrawal,SAR,4957.285,90.27,5.06,1338.46695,24.3729,1.3662,07/04/2024,April,2024,,,,,
10164,1093,Ahmed,West,Checking,Deposit,SAR,5559.1,57.62,85.92,1500.957,15.5574,23.1984,06/01/2023,January,2023,,,,,
10165,1022,Omar,East,Savings,Withdrawal,SAR,1420.01,44.67,91.23,383.4027,12.0609,24.6321,06/11/2024,November,2024,,,,,
10166,1014,Huda,South,Checking,Deposit,SAR,3878.72,66.59,119.68,1047.2544,17.9793,32.3136,03/01/2024,January,2024,,,,,
10167,1042,Ali,East,Investment,Fee,USD,4475.29,83.35,57.28,4475.29,83.35,57.28,15/04/2024,April,2024,,,,,
10168,1028,Zain,East,Checking,Deposit,SAR,9851.41,28.25,79.8,2659.8807,7.6275,21.546,14/12/2024,December,2024,,,,,
10169,1035,Zain,South,Credit,Withdrawal,USD,3521.03,10.75,-9.39,3521.03,10.75,-9.39,24/03/2024,March,2024,,,,,
10170,1012,Fatima,South,Investment,Transfer,USD,6449.34,43.3,97.35,6449.34,43.3,97.35,19/11/2024,November,2024,,,,,
10171,1031,Ahmed,South,Credit,Deposit,USD,1382.78,21.45,117.68,1382.78,21.45,117.68,05/01/2024,January,2024,,,,,
10172,1070,Ali,West,Credit,Transfer,SAR,664.16,42.95,68.75,179.3232,11.5965,18.5625,06/12/2023,December,2023,,,,,
10173,1058,Omar,South,Savings,Interest,SAR,8716.7,50.88,-26.87,2353.509,13.7376,-7.2549,29/10/2024,October,2024,,,,,
10174,1085,Zain,North,Savings,Transfer,USD,7310.04,57.41,12.57,7310.04,57.41,12.57,05/10/2023,October,2023,,,,,
10175,1027,Zain,South,Credit,Interest,SAR,3181.82,69.36,45.1,859.0914,18.7272,12.177,06/12/2023,December,2023,,,,,
10176,1065,Ali,South,Credit,Transfer,SAR,4957.285,50.88,85.43,1338.46695,13.7376,23.0661,05/09/2024,September,2024,,,,,
10177,1041,Huda,South,Checking,Transfer,USD,1366.08,82.07,14.07,1366.08,82.07,14.07,21/03/2023,March,2023,,,,,
10178,1044,Huda,East,Investment,Withdrawal,USD,7074.53,94.41,51.33,7074.53,94.41,51.33,06/12/2024,December,2024,,,,,
10179,1061,Ahmed,West,Checking,Deposit,SAR,712.6,65.88,24.36,192.402,17.7876,6.5772,25/08/2024,August,2024,,,,,
10180,1056,Lina,South,Savings,Transfer,USD,7572.76,47.61,-41.43,7572.76,47.61,-41.43,08/03/2023,March,2023,,,,,
10181,1005,Fatima,West,Savings,Fee,SAR,5472.9,31.78,108.8,1477.683,8.5806,29.376,03/08/2023,August,2023,,,,,
10182,1027,Zain,North,Checking,Withdrawal,SAR,2795.72,50.88,78.84,754.8444,13.7376,21.2868,20/02/2024,February,2024,,,,,
10183,1027,Lina,North,Investment,Deposit,USD,8627.12,33.45,110.39,8627.12,33.45,110.39,25/05/2023,May,2023,,,,,
10184,1043,Lina,South,Credit,Withdrawal,USD,9860.86,32.45,19.78,9860.86,32.45,19.78,05/07/2024,July,2024,,,,,
10185,1083,Fatima,North,Checking,Deposit,SAR,2550.95,69.46,-46.47,688.7565,18.7542,-12.5469,24/12/2024,December,2024,,,,,
10186,1029,Lina,West,Savings,Interest,USD,8064.4,58.77,-35.25,8064.4,58.77,-35.25,13/10/2023,October,2023,,,,,
10187,1061,Lina,East,Investment,Transfer,SAR,7504.16,20.2,-27.64,2026.1232,5.454,-7.4628,24/07/2024,July,2024,,,,,
10188,1074,Huda,South,Savings,Fee,USD,7474.43,96.96,111.03,7474.43,96.96,111.03,23/06/2024,June,2024,,,,,
10189,1091,Huda,North,Investment,Withdrawal,SAR,9572.78,42.77,10.29,2584.6506,11.5479,2.7783,16/02/2023,February,2023,,,,,
10190,1088,Sara,West,Investment,Withdrawal,USD,4871.3,56.61,149.58,4871.3,56.61,149.58,25/08/2023,August,2023,,,,,
10191,1061,Omar,West,Investment,Withdrawal,SAR,6744.94,70.26,101.68,1821.1338,18.9702,27.4536,27/04/2023,April,2023,,,,,
10192,1096,Ahmed,North,Checking,Withdrawal,SAR,4957.285,61.37,70.23,1338.46695,16.5699,18.9621,31/05/2023,May,2023,,,,,
10193,1000,Lina,West,Checking,Transfer,USD,4800.57,31.11,146.72,4800.57,31.11,146.72,24/03/2023,March,2023,,,,,
10194,1026,Sara,West,Checking,Deposit,SAR,4819.5,79.77,13.26,1301.265,21.5379,3.5802,26/02/2023,February,2023,,,,,
10195,1061,Omar,South,Investment,Transfer,SAR,3193.36,11.02,-16.88,862.2072,2.9754,-4.5576,29/12/2024,December,2024,,,,,
10196,1076,Sara,West,Investment,Interest,SAR,7810.45,56.9,97.45,2108.8215,15.363,26.3115,20/01/2024,January,2024,,,,,
10197,1002,Sara,North,Savings,Transfer,SAR,6865.1,27.33,51.33,1853.577,7.3791,13.8591,08/08/2023,August,2023,,,,,
10198,1069,Ahmed,South,Credit,Transfer,SAR,4516.89,50.88,142.21,1219.5603,13.7376,38.3967,12/10/2023,October,2023,,,,,
